Business Date,Sedol,ISIN,FIGI,Ticker,BBGID,Name,Offer Rate,Bid Rate,Last Rate,Short Momentum,Short Interest,ShortInterestNotional,ShortInterestPct,S3Float,S3SIPctFloat,IndicativeAvailability,S3Utilization,DaysToCover10Day,DaysToCover30Day,DaysToCover90Day,Crowded Score,Squeeze Score,Original SI
5/11/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.36,0.47,0,8902282.7,507430113.9,0.0951,102484030.7,0.0869,5.38E+06,62.3631,3.03841092264141,4.19415696447282,2.77899416217485,42.5,12.5,9695602
5/12/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.38,0.56,0,9032564.1,500855679.35,0.0965,102614312.1,0.088,5.50E+06,62.1535,2.53159648221995,3.925426807009,2.77595692618235,40,10,8911923
5/13/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.32,0.43,0,9143106.9,455509585.76,0.0977,102724854.9,0.089,5.44E+06,62.754,2.2982793647442,3.80832193793544,2.78933205079862,37.5,0,8974852
5/14/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.3,0.15,0.3,0,9238571.2,446869688.94,0.0987,102820319.2,0.0899,5.32E+06,63.4735,2.20272579404571,3.75680566828619,2.8106153035508,35,0,9125814
5/17/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.3,0.15,0.3,0,9205222,497081988,0.1034,98194902,0.0937,5.17E+06,64.0365,2.08926258412738,3.6337970901902,2.79450911176218,40,30,9184402
5/18/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.3,0.15,0.3,0,9293521.8,470252203.08,0.1007,101589159.8,0.0915,5.05E+06,64.8107,2.00392823782379,3.54296313550453,2.81578014818297,40,10,9247010
5/19/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.3,0.15,0.3,0,9360773.8,483390359.03,0.1016,101535075.8,0.0922,4.90E+06,65.6377,2.11167247779768,3.56418149017684,2.84899383438609,40,10,9328261
5/20/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.3,0.15,0.3,0,9446495,476575672.75,0.1025,101620797,0.093,4.42E+06,68.1343,2.25435102028738,3.53929494314982,2.88246675694627,40,10,9760453
5/21/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.3,0.15,0.3,0,9558913.1,524688740.06,0.1037,101733215.1,0.094,4.43E+06,68.3117,2.23241761886056,3.42327608960118,2.90171834042908,42.5,42.5,9746235
5/24/21,BMF9NM8,US00827B1061,BBG00Y7BP8Y1,AFRM,AFRM US,AFFIRM HLDGS INC,0.55,0.36,0.49,16.67,9664893.3,515718706.49,0.1049,101839195.3,0.0949,4.19E+06,69.7798,2.26545874463837,3.37639255459667,2.93506415456008,45,45,10017318
